"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","b24-1129 Проверка на пустые сроки","b24-1129 Проверка на пустые сроки","1","0","0","0","0"
"","Регресс-РейсНаСклад: ID терминала","Регресс-РейсНаСклад: ID терминала","0","0","1","0","0"
"","Регресс-Документ-ЗаказКлиента: Правила оплаты (заполнить по умолчанию)","Регресс-Документ-ЗаказКлиента: Правила оплаты (заполнить по умолчанию)","0","0","1","0","0"
"","Демонстрация падения","Демонстрация падения","1","0","0","0","0"
"","Регресс-Документ-ЗаказКлиента: Раздел дополнительно","Регресс-Документ-ЗаказКлиента: Раздел дополнительно","0","0","1","0","0"
"","Регресс-отчетВаловаяПрибыльПредприятия: формирования отчета","Регресс-отчетВаловаяПрибыльПредприятия: формирования отчета","0","0","1","0","0"
"","Регресс-Документ-ЗаказКлиента: Доставка","Регресс-Документ-ЗаказКлиента: Доставка","0","0","1","0","0"
"","Проверка движения путем смены статуса с не обеспечивать на резервировать","Проверка движения путем смены статуса с не обеспечивать на резервировать","0","0","1","0","0"
"","Регресс-РейсНаСклад: Проверка на редактирование полей","Регресс-РейсНаСклад: Проверка на редактирование полей","0","0","1","0","0"
"","Open purchase orders: 106 (Перемещение, сборка, внутр. потреб.)","Open purchase orders: 106 (Перемещение, сборка, внутр. потреб.)","0","0","1","0","0"
"","Open purchase orders: Формирование отчета Open purchase orders","Open purchase orders: Формирование отчета Open purchase orders","0","0","1","0","0"
"","Open purchase orders: Проведение тестовых документов","Open purchase orders: Проведение тестовых документов","0","0","1","0","0"
"","b24-1034","b24-1034","1","0","0","0","0"
"","Регресс-РейсНаСклад: Форма адреса","Регресс-РейсНаСклад: Форма адреса","0","0","1","0","0"
"","Регресс-Документ-ЗаказКлиента: Проверка на наличие колонок","Регресс-Документ-ЗаказКлиента: Проверка на наличие колонок","0","0","1","0","0"
"","Регресс-Документ-ЗаказыПоставщикам: Проверка на заполнение","Регресс-Документ-ЗаказыПоставщикам: Проверка на заполнение","0","0","1","0","0"
"","b24-1131","b24-1131","1","0","0","0","0"
"","Регресс-Документ-ЗаказКлиента: Кнопка Обеспечить","Регресс-Документ-ЗаказКлиента: Кнопка Обеспечить","0","0","1","0","0"
"","Создание заказа и проверка проставления скидки","Создание заказа и проверка проставления скидки","0","0","1","0","0"
"","Регресс-Документ-ЗаказыПоставщикам: Проверка на наличие колонок","Регресс-Документ-ЗаказыПоставщикам: Проверка на наличие колонок","0","0","1","0","0"
"","b24-1049 Проверка формы печати документа","b24-1049 Проверка формы печати документа","1","0","0","0","0"
"","Регресс-Документ-ЗаказыПоставщикам: Проверка на создание","Регресс-Документ-ЗаказыПоставщикам: Проверка на создание","0","0","1","0","0"
"","Open purchase orders: Снятия проведения","Open purchase orders: Снятия проведения","0","0","1","0","0"
"","Регресс-Документ-ЗаказКлиента: Дополнительно CS, AM, FSM","Регресс-Документ-ЗаказКлиента: Дополнительно CS, AM, FSM","0","0","1","0","0"
"","Регресс-Документ-ЗаказКлиента: Kr сальдо расчетов","Регресс-Документ-ЗаказКлиента: Kr сальдо расчетов","1","0","0","0","0"
"","Регресс-РейсНаСклад: создается рейс","Регресс-РейсНаСклад: создается рейс","0","0","1","0","0"
